Codigo_Producto,Grupo,Segmento,Margen_Venta,Rotacion_Stock,GMROI,Demanda_Trimestral,Stock_Actual,Reposicion_Sugerida_UNI,Peso_Total_Gramos
799,ACESSORIOS,A,59.54,6.0,7.144792655086849,0.6,0,1,20.0
807,ACESSORIOS,A,62.88,4.0,6.152571926765474,0.6,0,1,20.0
783,ACESSORIOS,A,60.58,4.0,5.833438485804417,0.6,0,1,20.0
818,ACESSORIOS,A,60.18,4.0,5.579032913449818,0.6,0,1,20.0
823,ACESSORIOS,A,60.18,4.0,5.293783015034539,0.6,0,1,20.0
820,ACESSORIOS,A,59.53,4.0,5.292970337261275,0.6,0,1,20.0
634,ACESSORIOS,A,58.68,4.0,5.251956181533647,0.6,0,1,20.0
824,ACESSORIOS,A,58.52,4.0,5.101010101010101,0.6,0,1,20.0
790,ACESSORIOS,A,55.99,4.0,4.925505050505051,0.6,0,1,20.0
632,ACESSORIOS,A,58.68,4.0,4.903495044340114,0.6,0,1,20.0
638,ACESSORIOS,A,55.99,4.0,4.765151515151516,0.6,0,1,20.0
606,ACESSORIOS,A,56.38,4.0,4.7537777777777785,0.6,0,1,20.0
741,ACESSORIOS,A,55.99,4.0,4.662878787878788,0.6,0,1,20.0
786,ACESSORIOS,A,55.99,4.0,4.638888888888889,0.6,0,1,20.0
775,ACESSORIOS,A,55.01,4.0,4.625925925925926,0.6,0,1,20.0
814,ACESSORIOS,A,55.95,4.0,4.598825831702544,0.6,0,1,20.0
1259,PERFUMARIA,A,62.6,3.3333333333333335,4.56172140430351,3.9,0,4,80.0
787,ACESSORIOS,A,55.99,4.0,4.537878787878788,0.6,0,1,20.0
555,ACESSORIOS,A,56.44,4.0,4.503712164477441,0.6,0,1,20.0
3403,LOJA DE BRINQUEDOS,C,38.88,1.7970401691331923,1.1215114884501889,6.3,2,5,25.0
809,ACESSORIOS,A,55.95,4.0,4.4706457925636,0.6,0,1,20.0
776,ACESSORIOS,A,55.01,4.0,4.462962962962963,0.6,0,1,20.0
810,ACESSORIOS,A,55.95,4.0,4.460861056751468,0.6,0,1,20.0
767,ACESSORIOS,A,53.39,4.0,4.393690851735016,0.6,0,1,20.0
668,ACESSORIOS,A,53.4,4.0,4.377525252525253,0.6,0,1,20.0
791,ACESSORIOS,A,55.01,4.0,4.325925925925926,0.6,0,1,20.0
611,ACESSORIOS,A,53.34,4.0,4.300639658848614,0.6,0,1,20.0
788,ACESSORIOS,A,55.01,4.0,4.228395061728396,0.6,0,1,20.0
752,ACESSORIOS,A,53.34,4.0,4.218550106609808,0.6,0,1,20.0
669,ACESSORIOS,A,52.37,4.0,4.161728395061728,0.6,0,1,20.0
667,ACESSORIOS,A,53.4,4.0,4.108585858585858,0.6,0,1,20.0
784,ACESSORIOS,A,59.58,3.0,4.10290404040404,0.6,0,1,20.0
610,ACESSORIOS,A,53.34,4.0,4.087420042643923,0.6,0,1,20.0
686,ACESSORIOS,A,53.4,4.0,4.087121212121213,0.6,0,1,20.0
616,ACESSORIOS,A,53.34,4.0,4.06183368869936,0.6,0,1,20.0
615,ACESSORIOS,A,52.3,4.0,3.983307250912885,0.6,0,1,20.0
781,ACESSORIOS,A,59.71,3.0,3.961728395061729,0.6,0,1,20.0
779,ACESSORIOS,A,58.53,3.0,3.9141414141414144,0.6,0,1,20.0
4050,COMESTIVEIS,C,39.18,1.6153846153846154,0.9398263027295284,4.8,3,2,10.0
785,ACESSORIOS,A,58.68,3.0,3.6888888888888896,0.6,0,1,20.0
782,ACESSORIOS,A,59.71,3.0,3.6098765432098765,0.6,0,1,20.0
3402,LOJA DE BRINQUEDOS,C,42.57,1.9574468085106382,1.4036706188078611,4.5,1,4,32.0
4488,LOJA DE BRINQUEDOS,A,46.62,4.0,3.3157099697885193,0.6,0,1,20.0
1497,PERFUMARIA,A,62.96,2.2660098522167487,3.2023177017447253,12.6,0,13,260.0
4047,COMESTIVEIS,C,36.28,2.1492537313432836,1.2759730757974832,6.3,0,7,56.0
600,ACESSORIOS,A,56.38,2.6666666666666665,3.1893333333333334,0.6,0,1,20.0
766,ACESSORIOS,A,52.36,3.0,2.8932098765432097,0.6,0,1,20.0
8431,ROUPA,A,64.84,4.0,7.048611111111112,0.9,0,1,49.0
8434,ROUPA,A,64.84,4.0,7.048611111111112,0.9,0,1,49.0
3399,LOJA DE BRINQUEDOS,C,44.03,1.6939890710382512,1.2764918846357238,5.1,5,1,9.0
551,ACESSORIOS,A,60.53,4.0,5.619407687460618,0.6,0,1,40.0
8424,ROUPA,A,64.84,4.0,6.777777777777778,0.9,0,1,49.0
548,ACESSORIOS,A,60.17,4.0,5.480698902885006,0.6,0,1,40.0
1500,PERFUMARIA,B,62.86,1.9467213114754096,2.7141220351096615,11.7,1,11,220.0
8812,ROUPA,A,65.11,4.0,7.144792655086849,0.6,0,1,53.0
4445,ACESSORIOS,A,57.17,4.0,4.690145502645502,0.6,0,1,35.0
520,ACESSORIOS,A,59.52,4.0,5.345794392523365,0.6,0,1,40.0
4201,ACESSORIOS,A,57.41,4.0,5.046352583586626,0.6,0,1,38.0
496,ACESSORIOS,A,58.35,4.0,5.292653552790043,0.6,0,1,40.0
9872,ACESSORIOS,A,53.82,4.0,4.584447144592953,0.6,0,1,35.0
491,ACESSORIOS,A,58.42,4.0,5.207725947521866,0.6,0,1,40.0
8423,ROUPA,A,64.84,4.0,6.333333333333333,0.9,0,1,49.0
9856,ACESSORIOS,A,53.81,4.0,4.513173510562544,0.6,0,1,35.0
503,ACESSORIOS,A,58.69,4.0,5.147583804962996,0.6,0,1,40.0
9875,ACESSORIOS,A,53.85,4.0,4.471014492753623,0.6,0,1,35.0
4264,ACESSORIOS,A,57.12,4.0,5.102635658914728,0.6,0,1,40.0
9855,ACESSORIOS,A,53.69,4.0,4.430976430976431,0.6,0,1,35.0
8761,ROUPA,A,67.59,4.0,7.144792655086849,0.6,0,1,57.0
